NazRudy ; 380665456478
#первая лента нкх пятнадцатой лавы ;37 22
#питатель девятнадцатой лавы ;37 87
#зпвкш третий привод ;37 91
#питатель зпвкш один ;37 10
#пятый заезд пятая блочная лента ;37 78
#третья лента зпвкш ... натяжная ;37 27
#вторая лента нкх пятнадцатой лавы ;37 17
#участок пр ... по ... тб ;35 89
#начальник участка пр ... по ... тб пономаренко ростислав александрович ;35 81 ... короткий по шлюзу 41
#вакуумнасосная ;37 34
#вакуумнасосная ;39 12
#вакуумнасосная ;33 26
#вакуумнасосная ;35 99
#вакуумнасосная ;34 24
#склад пр ... по ... тб ;34 33
#квершлаг ... подрывка девятнадцатой лавы ;37 65
#участок втб нарядная ;33 21
#сыдор александр григорьевич начальник втб ;33 10 ... короткий по шлюзу 17
#противопожарный склад ... кайбаш втб ;34 08
#погашение конвейерной выработки четырнадцатой лавы ;37 45
#участок втб малофиенко вячеслав валерьевич ;короткий по шлюзу 57
#участок гму мдго ;34 73
#начальник гму наконечный виталий александрович ;33 29 ... короткий по шлюзу 75
#кайбаш гму ;34 01
#лебедка номер два гму; 37 75
#доставка гму шестой пикет ;37 72
#монтажный ходок восемнадцатой лавы ;37 26
#участок вшт ;34 14 ... 34 36
#начальник вшт сидоренка максим викторович ;35 36
#кайбаш вшт ;35 13
#кайбаш вшт бам ;34 91
#электровозный гараж поверхности ... кайбаш вшт ;35 25
#опрокид поверхности ;39 25
#электровозный гараж восемьсот двадцать четвертого горизонта ;37 83 ... бит штси номер четырнадцать
#электровозный гараж шестьсот двадцать четвертого горизонта ... и ... заряд аккумуляторов ;37 05 ... бит штси номер тринадцать
#тринадцатая сбойка ;37 08
#рукоятка главного ствола ;37 90 ... бит штси номер двенадцать
#рукоятка двухконцевого подъёма ;39 02
#рп десять посадочная площадка и лебёдка третий заезд ;37 82
#боковой опрокид ;39 25
#механик электровозного гаража поверхности ;35 13
#угольная яма ... верх ;37 09
#первая лента впв двенадцатой и четырнадцатой лавы ;37 84
#стволовой шестьсот двадцать четвёртого горизонта ;37 51 ... бит штси номер шесть
#стволовой восемьсот двадцать четвёртого горизонта ;37 41 ... бит штси номер пять
#угольная загрузка в шахте ;37 61
#породная загрузка в шахте ;37 53
#опрокид в шахте ;37 63
#заместитель начальника участка укт савицкий иван иванович ;короткий по шлюзу 38
#магистральная лента номер один ;37 30
#магистральная лента номер два ;37 31
#магистральная лента номер три ;37 36
#первая лента пласта ц одинадцать и питатель восток-запад низ ;37 35
#вторая лента пласта ц одинадцать и седьмая збойка ;37 50
#третья лента пласта ц одинадцать ;37 92
#четвёртая лента пласта ц одинадцать ;37 59
#четвёртая лента пласта ц одинадцать натяжная головка и питатель ;37 39
#первая блочная лента восемьсот двадцать четвёртого горизонта ;37 57
#вторая блочная лента восемьсот двадцать четвёртого горизонта ;37 47
#третья блочная лента восемьсот двадцать четвёртого горизонта ;37 81
#четвёртая блочная лента восемьсот двадцать четвёртого горизонта и четвёртый заезд ;37 62
#пятая блочная лента восемьсот двадцать четвёртого горизонта и пятый заезд ;37 78
#шестая блочная лента ;37 15
#вторая лента впв ;37 98
#первая лента кпп ;37 60
#вторая лента кпп ;37 38
#третья лента кпп питатель ;37 89
#участок упс нарядная ;34 63
#начальник участка упс лободин евгений викторович ;34 63 ... короткий по шлюзу 28
#механик клетьевого ствола голуб вадим викторович двадцатая и двадцать четвёртая отметка ;34 16
#нарядная клетьевого ствола ;34 44
#слесаря скипового ствола восемнадцатая отметка ;35 52
#одноконцевой подъём клетьевого ствола ;39 11
#двухконцевой подъём ;39 16
#первый угольный подъём ... отметка девяносто семь ;39 10
#второй угольный подъём ... отметка восемдесят семь ;39 29
#нулевая отметка ;34 52
#четырнадцатая отметка скипового ствола и двадцать вторая отметка и восьмой конвейер ;34 74
#породный подъём ... отметка семдесят девять ;39 20
#электрослесаря двадцатая отметка ;39 99
#зумпф скипового ствола восемьсот двадцать четвёртого горизонта ;37 76
#лебёдка скипового ствола ;34 49
#начальник отк коваль наталья семёновна ;33-98 ... короткий по шлюзу 62
#нарядная отк ;39 37
#лаборатория отк общий ;34 71
#заведующий лабораторией отк ивашко наталья владимировна ;35 59
#юридический отдел карабань лада олеговна ;35 83
#председатель пруп гордиенко виктор иванович ;33 47 ... короткий по шлюзу 58
#заместитель председателя пруп ;34 47
#приёмная и бухгалтерия пруп ;34 36
#председатель нпг даценко григорий игнатьевич ;35 57 ... короткий по шлюзу 49
#заместитель председателя нпг ;34 57
#приёмная нпг ;34 64
#бухгалтерия нпг ;34 60
#начальник отдела материальнотехнического снабжения и маркетинга ... щитина наталья васильевна ;33 60 ... короткий по шлюзу 04
#общий телефон отдела материально-технического снабжения и маркетинга ;33 61
#лобацевич евгений данилович тэндерный ;35 63
#начальник сбыта ... яковлева наталья валерьевна ;33 68
#отдел сбыта общий телефон ;34 48
#сектор сметно договорной тищенко татьяна александровна ;35 31
#склад тяжёлого оборудования ;35 60 ... 33-78
#заведующая складом горно шахтного оборудования радина дарья александровна ;35 60
#грузчики ;34 65
#склад номер восемь ;33 28
#склад спецодежды ;34 28
#склад гсм ... жб затяжка ;35 04
#маркшейдерский отдел ;35 40 ... 34 34
#главный маркшейдер цыбульник павел александрович ;33-40 ... короткий по шлюзу 48
#главный геолог федорчук александр николаевич ;33 45
#замерщики маркшейдерского отдела ;34 31
#начальник планового отдела бобрицкая наталья григорьевна ;35 19
#плановый отдел ;35 80
#отдел статистики ;33 34
#начальник отдела отиз игнатенко александр владимирович ;33 74 ... короткий по шлюзу 26
#отиз общий ;35 56
#кузьменко татьяна михайловна ;33 53
#сокович роман ;33 55
#участок утас ... паз начальник кисиленко юрий викторович ;33 13 ... короткий по шлюзу 74
#механик утаc ... перетятько александр васильевич ;35 00
#склад утас ;34 90
#нарядная утас ;34 00
#слесаарка ... утаас ;33 41
#тку ;35 05
#мастерская утас ;35 92
#оператор утас ;35 84 ... 39 22
#оператор агз ;33 84
#кайбаш агз ;34 72
#вц асу ... начальник отдела лысенко елена николаевна ;33 44 ... короткий по шлюзу 32
#вц асу ... общий телефон ;35 98
#вц асу ... машинный зал ;34 94
#вц асу ... компьютерный зал ;33 46
#вц асу ... программисты  ;33 88
#вц асу ... беляев олег николаевич ;33 91
#вц асу ... мастерская ;33 48
#телетайп ;35 07
#машбюро ;34 98
#начальник ату брыков владимир иванович ;35 47 ... короткий по шлюзу 63
#диспетчер автотранспорта ;33 86 ... 39 08
#дежурный водитель ;39 17
#комната водителей директора ;35 10
#дежурный водитель в котельной ;33 38
#заправка ;34 19
#охрана гаража ;34 41
#заведующая столовой манько алла витальевна ;33 23
#бухгалтерия столовой ;34 55
#столовая кухня ;35 55
#киоск в абк ;34 51
#киоск в новом абк ;34 99
#мастер абк ... мокрая ирина петровна ;35 02
#механик абк ... аносов александр васильевич ;34 81
#электрослесарь по кранам ;31 22
#участок шахтной поверхности гончаров владимир леонидович ;33 56
#кайбаш уборщиц ;34 84
#баня директора ;35 93
#баня итр ;35 41
#комната отдыха ;34 30
#женская баня ;34 12
#баня второго этажа ;34 53
#баня третьего этажа ;34 20
#прачечная и ремонт одежды ;35 90
#приём белья в стирку ;34 79
#лесной склад общий телефон и комната отдыха ;34 39
#начальник лесного склада жук людмила викторовна ;35 78 ... короткий по шлюзу 47
#мастер лесного склада ;35 45
#стройцех общий телефон и начальник синицина свктлана евгеньевна ;33 89 ... короткий по шлюзу 55
#плотницкий цех ;36 01
#заместитель главного инженера по капитальному строительству новиков максим дмитриевич ;33 50 ... короткий по шлюзу 42
#заместитель главного инженера по производству шураков игорь владимирович ;33 16 ... короткий по шлюзу 79
#заместитель директора по производству буряк марк алесандрович ;35 01 ... короткий по шлюзу 44
#производственный отдел ;33 35
#старший инспектор по трудовой дисциплине нудьга ирина владимировна ;33 15
#горный диспетчер ;33 06 ... 37 28 ... три пятёрки ... три тройки ... короткий по шлюзу 30
#горный диспетчер аварийный ;39 33
#начальник смены в технической нарядной ;35 15
#комната отдыха начальника смены ;35 49
#главный технолог жевлаков владимир сергеевич ;34 42
#главный технолог жевлаков владимир сергеевич ;33 95 ... короткий по шлюзу 64
#служба главного технолога общий телефон ;35 38
#инженер по рационализации ;35 16
#инженер по экологии ганус сергей сергеевич ;34 35
#начальник связи топало александр николаевич ;33 25 ... короткий по шлюзу 05
#бюро ремонта ... кросс ;08 ... 33 08 ... 35 08 ... 37 80
#мастерская поверхностных связистов ;33 30 ... 33 31 ... 33 32
#мастерская подземных связистов ;35 18 ... 34 09
#мастерская подземных связистов ;39 30 ... 37 99
#коммутатор шахты ;07
#коммутатор шахты ;33 07
#коммутатор шахты ;33 09
#кросс прибор номер один ;34 11
#контрольный абонент ;35 09
#шлюз номер один ;36 10
#шлюз номер два ;38 20
#первая соединительная линия цифровой атс ;33 36 по коралу 66 02
#вторая соединительная линия цифровой атс ;34 18 по коралу 66 03
#третья соединительная линия цифровой атс ;34 78 по коралу 66 09
#четвёртая соединительная линия цифровой атс ;34 37 по коралу 66 10
#пятая соединительная линия цифровой атс ;36 18 по коралу 66 11
#шестая соединительная линия цифровой атс ;34 89 по коралу 66 17
#седьмая  соединительная линия цифровой атс ;34 03 по коралу 66 18
#восьмая  соединительная линия цифровой атс ;36 49 по коралу 66 31
#девятая соединительная линия цифровой атс ;34 67 по коралу 66 32
#десятая соединительная линия цифровой атс ;33 39 по коралу 66 33
#механик автоматики заяц александр александрович ;34 21
#автоматика общий телефон ;39 04
#телеметрия ;35 33
#отдел кадров общий телефон ;35 17
#начальник отдела кадров симонова виктория анатольевна ;33 17 ... короткий по шлюзу 31
#инспектор по отпускам ;35 44
#инженер по спец работам бовть ольга ;33 49
#бухгалтерия общий телефон ;33 11 ... 33 93
#главный бухгалтер шуракова наталья александровна ;35 61 ... короткий по шлюзу 15
#заместитель главного бухгалтера светова ольга григорьевна ;35 65
#старший бухгалтер по основным фондам ;34 22
#начальник материальной бухгалтерии гапешина валентина анатольевна ;35 20
#материальная бухгалтерия ;35 20 ... 35 32
#выписка бытового угля баскакова ольга ; 35 29 ... 35 74
#налоговая наташа ;35 12
#заместитель главного бухгалтера по налоговому учёту галий нелля васильевна ;35 12
#ламповая ;35 21
#начальник ламповой сысоева ирина николаевна ;35 42
#приборная ;34 32
#мастер по ремонту приборов ;33 73
#ремонт светильников ;34 66
#выдача респираторов ;34 95
#сатураторная ;33 87
#нарядная бвр ;35 94
#кайбаш вшт шестьсот двадцать четвёртого горизонта ;37 40
#раздатчик восемьсот двадцать четвёртого горизонта ;37 58
#погрузочная площадка ;33 63
#начальник водоотлива мандрыка виктор владимирович ;34 23 ... короткий по шлюзу 29
#нарядная водоотлива ;35 34
#насосная ;35 35
#фекальная насосная ;34 92
#насосная богоявленки ;34 10 ... радиотелефон 34 29
#кайбаш водоотлива ;34 68
#очистные ;35 22
#водосборник восемьсот двадцать четвёртого горизонта ;37 18
#насос двадцать первой и двадцать второй лавы девятьсот восьмидесятого горизонта ;37 67
#цпп шестьсот двадцать четвёртого горизонта ;37 13
#цпп восемьсот двадцать четвёртого горизонта ;37 24 ... бит штси номер девять
#насос ветиляционного ствола ;37 94
#компрессорная ;39 03
#слесаря компрессорной ;35 14
#вентилятор главного ствола ;39 09 ... 33 54
#вентилятор вентиляционного ствола ;39 14 ... 35 54
#нарядная воздухоподающего ствола ;34 69
#механик воздухоподающего ствола колесников виктор иванович ;34 69
#подъём воздухоподающего ствола ;39 21
#дежурные слесаря калориферной ;34 45
#рукоятка воздухоподающего ствола ;37 04 ... бит штси номер один
#стволовой воздухоподающего ствола ;37 25 ... бит штси номер одинадцать
#бадьевый подъём воздухоподающего ствола ;35 62
#нарядная вентиляционного ствола ;35 66
#механик вентиляционного ствола волчок александр анатольевич ;35 06
#клетьевой подъём ;39 07
#насосная вентиляционного ствола ;35 37
#рукоятка вентиляционного ствола ;37 14 ... бит штси номер десять
#стволовой вентиляционного ствола ;37 52 ... бит штси номер восемь
#подъём номер два ;34 26
#слесаря вентиляционного ствола ;36 47
#бадьевый подъём вентиляционного ствола ;36 47
#нарядная птк ;33 75
#начальник птк карачевская наталья генадьевна ;33 85 ... короткий по шлюзу 33
#механик дсо ;35 67
#породовыборка дсо ;39 18
#шестьдесят шестой скребковый конвейер дсо ;39 18
#двадцать вторая отметка дсо ;39 18
#пункт погрузки породы ;39 17
#приёмосдатчик вагонов ;39 19
#оператор погрузки в вагоны ;33 79
#погрузка угля населению ;33 71
#птк перегрузочная станция ;34 75
#птк центральная операторная ;39 24
#птк породная цепочка ;39 28
#птк бункер конвеерной цепочки ;39 28
#слесаря птк банки нулевая отметка ;34 27
#тридцать первая отметка погрузочный бункер ;34 38
#сорок восьмая отметка бункер ;34 80
#сброс породы в вагоны ;37 85
#слесаря двадцать четвёртая отметка ;33 99
#погрузка вагонов ;34 93
#расчётный отдел общий телефон ;33 52 ... 34 25
#начальник расчётного отдела сиротина валентина фёдоровна ;33 12
#финансовый отдел общий телефон ;33 65 ... 34 77
#финансовый отдел трусова елена леонидовна ;33 65 ... короткий по шлюзу 19
#медпункт общий телефон ;39 01 ... 33 03
#заведующая медпунктом садовская ирина вадимовна ;35 03
#подземный медпункт ;37 03
#физкабинет ;34 46
#учебный пункт общий телефон ;35 75
#горнотехнический инспектор чёрный юрий валерьевич ; короткий по шлюзу 39
#отдел о ... т ... и ... т ... б общий телефон ;33 69 ... 33 82
#заместитель директора по о ... т ... и ... т ... б ... волощенко евгений викторович ;33 22 ... короткий по шлюзу 12
#шгс общий телефон ;33 05
#шгс электрослесаря ;33 83
#шгс командир взвода Тимошенко Андрей Владимирович ;33 83 ... короткий по шлюзу 18
#кабинет горнотехнического инспектора ;35 95
#радиотелефон вгсч ;37 02
#начальник службы охраны федорчук ростислав михайлович ;33 24
#охрана в абк первый этаж ;33 94
#бюро попусков ;34 56
#центральная проходная ;34 61
#лесная проходная ;35 68
#проходная вентиляционного ствола ;33 19
#проходная воздухоподающего ствола ;33 97
#нарядная котельной ;35 30
#начальник котельной селюков сергей алексеевич ;35 70 ... короткий по шлюзу 31
#машинист котельной ;39 43
#химическая лаборатория котельной ;35 86
#оператор теплопункта котельной ;39 00
#углеподача котельной ;34 13
#начальник мехцеха хохлов виктор анатольевич ;33 02
#Инструментальный цех ;33 14
#цех малой механизации ;33 64
#цех мехцеха ;34 83
#нарядная р ... з ... о ;33 92
#начальник р ... з ... о козубов евгений викторович ;33 92 ... короткий по шлюзу 45
#р ... з ... о соловей василий владимирович ;короткий по шлюзу 72
#р ... з ... о комбайновый цех ;39 06
#р ... з ... о гидравлика ;36 20 ... 33 80
#р ... з ... о калориферная ;35 11
#р ... з ... о крановщики ;34 85
#р ... з ... о василенко виктор владимирович ;короткий по шлюзу 39
#приёмная директора ;33 00 ... 33 43
#главный инженер сокун александр сергеевич ;33 90 ... короткий по шлюзу 77
#заместитель директора по экономическим вопросам волощенко оксана вадимовна ;33 70 ... короткий по шлюзу 21
#заместитель директора по социальным хозяйственным вопросам приходько наталья григорьевна ;35 39 ... кроткий по шлюзу 24
#коммутатор шахты южнодонбасская номер один ;6 40 08 ... 6 61 01 ... 4 1 01
#выход на угледарскую атс с шахты имени сургая ;9 6 ... и четыре цыфры номера
#выход на шахту имени сургая из города угледар ;6 6 ... и три цыфры номера
#выход в угледар по межгороду ;06 273 6 ... и четыре цыфры номера
#индексы мобильного оператора киевстар ;067 ... 096 ... 097 ... 098 ... 068 ... 039
#индексы мобильного оператора водафон ;050 ... 066 ... 099 ... 095
#индексы мобильного оператора лайф ;063 ... 093 ... 073
#индекс мобильного оператора ютел ;091
#индекс мобильного оператора пипелнэт ;092
#индекс мобильного оператора интертелеком ;094
#индекс компьютерного номера ;089
#индексы виртуальных номеров ;070 ... 080 ... 090
#главный механик кошелев андрей васильевич ;33 66 ... короткий по шлюзу 78
#главный механик кошелев андрей васильевич домашний ;33 67
#главный энергетик пилипенко алексей владимирович ;33 20 ... короткий по шлюзу 16
#заместитель главного энергетика сотников роман вадимович ;33 20 ... короткий по шлюзу 56
#заместитель директора по сбыту и материально техническому снабжению Кубышкин Андрей Юрьевич ;35 24 ... короткий по шлюзу 65
#ведущий инженер по информационно-аналитическому обеспечению василец людмила александровна ;34 88
#старший инженер по трудовой дисциплине нудьга ирина владимировна ;33 15
#помошник директора по правовым вопросам карабань виталий александрович ;33 77 ... короткий по шлюзу 76
#техника безопасности Антонюк Евгений Петрович ;короткий по шлюзу 10
#электроцех электротех ;39 27 ... 33 58
#рпп шесть номер семь ;37 29
#электроподстанция ;33 27
#южтрансстрой приёмосдатчик мпс ;33 51
#южтрансстрой отдел маркетинга ;33 59
#южтрансстрой околоток ;34 43
#южтрансстрой начальник эмо ;34 97
#южтрансстрой бухгалтерия ;35 46
#южтрансстрой директор ;35 48
#южтрансстрой дежурный по станции ;35 50
#южтрансстрой заместитель директора по экономике ;35 51
#южтрансстрой охрана ;35 53
#южтрансстрой начальник станции ;35 58
#южтрансстрой дежурный по переезду ;35 71
#южтрансстрой экипировщик ;35 72
#южтрансстрой инженер энергетик ;35 73
#южтрансстрой приёмосдатчик южнодонбасская номер один ;35 79
#южтрансстрой углесборочная ;35 85
#южтрансстрой начальник участка эмо и сцб ;35 88
#южтрансстрой старший механик связи ;35 96
#южтрансстрой главный инженер ;36 97
#проверяющие ;33 62
#инженер ппр паспортист ;33 81
#архив ;34 62
#библиотека и музей ;34 87
#модем стм 256 ;36 85
#пашкова ... домашний ;38 01
#синицына ... кириченко ... домашний ;38 08
#антипенко ... домашний ;38 14
#кривсун ... домашний ;38 21
#рябко ... домашний ;38 22
#хижко ... домашний ;38 23
#михневич ... жмачинский ... домашний ;38 24
#прокопенко ... шаманский ... домашний ;38 28
#якуша ... домашний ;38 29
#недодил ... суменко ... домашний ;38 30
#наконечный ... домашний ;38 35
#король ... домашний ;38 36
#бондарь ... базари ... домашний ;38 37
#гончар ... домашний ;38 38
#теряник ... домашний ;38 39
#корниенко ... домашний ;38 40
#строков ... домашний ;38 43
#канцидал ... кривич ... домашний ;38 45
#казмин ... домашний ;38 47
#гончаров ... домашний ;38 55
#кравченко ... лёвочкин ... домашний ;38 56
#галушкин ... стрига ... домашний ;38 57
#фасхутдинов ... гончаров ... домашний ;38 59
#давыденко ... домашний ;38 60
#шапочка ... енин ... домашний ;38 67
#топало ... домашний ;38 70
#пономаренко ... домашний ;38 72
#радин ... бузанова ... домашний ;38 76
#гладчук ... домашний ;38 77
#ковальчук ... вербовская ... домашний ;38 79
#вьюнсковская ... коротких ... домашний ;38 81
#ковалев ... домашний ;38 85
#кисиленко ... домашний ;38 87
#лысенко ... домашний ;38 90
#чередниченко ... жовниренко ... домашний ;38 96
# ;здравствуйте ... для использования справочника нажмите кнопку с микрофоном и после сигнала произнесите номер телефона или его местонахождение или участок или службу
# ;сама ссучка
# ;ха ... ха ... меня уже невозможно удалить ... я загрузилась на все телефоны
